material_id,source_path,source_folder,material_name,material_category,asset_layer,candidate_asset_id,candidate_asset_name,target_page_types,primary_output,needs_direct_html,needs_rule,priority,proposed_target_path,conversion_strategy,coverage_status,width,height,mode
M001,场景/典型页面 2/提单/分步表单.png,场景/典型页面 2/提单,分步表单,典型页面,page_recipe,step-form,分步表单,CreatePage | EditPage,recipe + optional page skeleton,partial,yes,P1,assets/page-recipes/step-form.recipe.md,提炼页面区域顺序、组合配方、可选模块，不建议直接做整页主模板,listed_from_zip,6355,12765,RGBA
M002,场景/典型页面 2/提单/基础表单-上下布局.png,场景/典型页面 2/提单,基础表单-上下布局,典型页面,page_recipe,basic-form-vertical-layout,基础表单-上下布局,CreatePage | EditPage,recipe + optional page skeleton,partial,yes,P0,assets/page-recipes/basic-form-vertical-layout.recipe.md,提炼页面区域顺序、组合配方、可选模块，不建议直接做整页主模板,listed_from_zip,6355,11377,RGBA
M003,场景/典型页面 2/提单/基础表单-左右表单.png,场景/典型页面 2/提单,基础表单-左右表单,典型页面,page_recipe,basic-form-horizontal-layout,基础表单-左右表单,CreatePage | EditPage,recipe + optional page skeleton,partial,yes,P0,assets/page-recipes/basic-form-horizontal-layout.recipe.md,提炼页面区域顺序、组合配方、可选模块，不建议直接做整页主模板,listed_from_zip,6355,15720,RGBA
M004,场景/典型页面 2/表格页/卡片表格.png,场景/典型页面 2/表格页,卡片表格,典型页面,page_recipe,card-table-page,卡片表格,TablePage,recipe + optional page skeleton,partial,yes,P1,assets/page-recipes/card-table-page.recipe.md,提炼页面区域顺序、组合配方、可选模块，不建议直接做整页主模板,listed_from_zip,3300,19768,RGBA
M005,场景/典型页面 2/表格页/可编辑表格页.png,场景/典型页面 2/表格页,可编辑表格页,典型页面,page_recipe,editable-table-page,可编辑表格页,TablePage,recipe + optional page skeleton,partial,yes,P1,assets/page-recipes/editable-table-page.recipe.md,提炼页面区域顺序、组合配方、可选模块，不建议直接做整页主模板,listed_from_zip,2062,8284,P
M006,场景/典型页面 2/表格页/基础表格.png,场景/典型页面 2/表格页,基础表格,典型页面,page_recipe,basic-table-page,基础表格,TablePage,recipe + optional page skeleton,partial,yes,P0,assets/page-recipes/basic-table-page.recipe.md,提炼页面区域顺序、组合配方、可选模块，不建议直接做整页主模板,listed_from_zip,3000,8017,RGBA
M007,场景/典型页面 2/表格页/多栏表格.png,场景/典型页面 2/表格页,多栏表格,典型页面,page_recipe,multi-column-table-page,多栏表格,TablePage,recipe + optional page skeleton,partial,yes,P1,assets/page-recipes/multi-column-table-page.recipe.md,提炼页面区域顺序、组合配方、可选模块，不建议直接做整页主模板,listed_from_zip,2400,17355,RGBA
M008,场景/典型页面 2/表格页/报表.png,场景/典型页面 2/表格页,报表,典型页面,page_recipe,report-page,报表,TablePage,recipe + optional page skeleton,partial,yes,P1,assets/page-recipes/report-page.recipe.md,提炼页面区域顺序、组合配方、可选模块，不建议直接做整页主模板,listed_from_zip,2550,6452,RGBA
M009,场景/典型页面 2/表格页/汇总信息.png,场景/典型页面 2/表格页,汇总信息,典型页面,page_recipe,summary-info-page,汇总信息,TablePage,recipe + optional page skeleton,partial,yes,P1,assets/page-recipes/summary-info-page.recipe.md,提炼页面区域顺序、组合配方、可选模块，不建议直接做整页主模板,listed_from_zip,2200,3546,RGBA
M010,场景/典型页面 2/表格页/父子.png,场景/典型页面 2/表格页,父子,典型页面,page_recipe,parent-child-table-page,父子,TablePage,recipe + optional page skeleton,partial,yes,P1,assets/page-recipes/parent-child-table-page.recipe.md,提炼页面区域顺序、组合配方、可选模块，不建议直接做整页主模板,listed_from_zip,2743,3725,RGBA
M011,场景/典型页面 2/详情/编辑页.png,场景/典型页面 2/详情,编辑页,典型页面,page_recipe,edit-page,编辑页,EditPage,recipe + optional page skeleton,partial,yes,P1,assets/page-recipes/edit-page.recipe.md,提炼页面区域顺序、组合配方、可选模块，不建议直接做整页主模板,listed_from_zip,3772,5613,RGBA
M012,场景/典型页面 2/详情/详情页-上下布局.png,场景/典型页面 2/详情,详情页-上下布局,典型页面,page_recipe,detail-page-vertical-layout,详情页-上下布局,DetailPage,recipe + optional page skeleton,partial,yes,P0,assets/page-recipes/detail-page-vertical-layout.recipe.md,提炼页面区域顺序、组合配方、可选模块，不建议直接做整页主模板,listed_from_zip,6355,11197,RGBA
M013,场景/典型页面 2/详情/详情页-基础样式-左右布局.png,场景/典型页面 2/详情,详情页-基础样式-左右布局,典型页面,page_recipe,detail-page-basic-side-layout,详情页-基础样式-左右布局,DetailPage,recipe + optional page skeleton,partial,yes,P0,assets/page-recipes/detail-page-basic-side-layout.recipe.md,提炼页面区域顺序、组合配方、可选模块，不建议直接做整页主模板,listed_from_zip,6355,14999,RGBA
M014,场景/典型页面 2/详情/详情页-表格样式-左右布局.png,场景/典型页面 2/详情,详情页-表格样式-左右布局,典型页面,page_recipe,detail-page-table-side-layout,详情页-表格样式-左右布局,TablePage,recipe + optional page skeleton,partial,yes,P0,assets/page-recipes/detail-page-table-side-layout.recipe.md,提炼页面区域顺序、组合配方、可选模块，不建议直接做整页主模板,listed_from_zip,6355,8197,RGBA
M015,场景/典型页面 2/配置页面/设置页 (1).png,场景/典型页面 2/配置页面,设置页 (1),典型页面,page_recipe,settings-page,设置页 (1),SettingsPage,recipe + optional page skeleton,partial,yes,P0,assets/page-recipes/settings-page.recipe.md,提炼页面区域顺序、组合配方、可选模块，不建议直接做整页主模板,listed_from_zip,2000,10700,RGBA
M016,场景/典型页面 2/首页/业务首页.png,场景/典型页面 2/首页,业务首页,典型页面,page_recipe,business-home-page,业务首页,HomePage,recipe + optional page skeleton,partial,yes,P0,assets/page-recipes/business-home-page.recipe.md,提炼页面区域顺序、组合配方、可选模块，不建议直接做整页主模板,listed_from_zip,1280,6593,RGBA
M017,场景/典型页面 2/首页/首页.png,场景/典型页面 2/首页,首页,典型页面,page_recipe,home-page,首页,HomePage,recipe + optional page skeleton,partial,yes,P0,assets/page-recipes/home-page.recipe.md,提炼页面区域顺序、组合配方、可选模块，不建议直接做整页主模板,listed_from_zip,2200,9899,RGBA
M018,场景/反馈/Alert 警告提示.png,场景/反馈,Alert 警告提示,反馈,feedback_rule_asset,alert,Alert 警告提示,All,HTML fragment + rule,yes,yes,P1,assets/states/alert.html,转为局部/全局反馈资产,listed_from_zip,2000,2933,RGBA
M019,场景/反馈/Message 全局提示.png,场景/反馈,Message 全局提示,反馈,feedback_rule_asset,message,Message 全局提示,All,HTML fragment + rule,yes,yes,P1,assets/states/message.html,转为局部/全局反馈资产,listed_from_zip,2000,2394,RGBA
M020,场景/反馈/Popconfirm 气泡确认框.png,场景/反馈,Popconfirm 气泡确认框,反馈,overlay_asset,popconfirm,Popconfirm 气泡确认框,Overlay | FullPage,HTML fragment,yes,yes,P0,assets/overlays/popconfirm.html,转为覆盖层资产，必须定义挂载位置和触发条件,listed_from_zip,2472,4526,RGBA
M021,场景/反馈/Progress 进度条.png,场景/反馈,Progress 进度条,反馈,state_asset,progress,Progress 进度条,All,HTML fragment,yes,yes,P1,assets/states/progress.html,转为状态资产，定义出现条件和替换位置,listed_from_zip,2000,5374,RGBA
M022,场景/反馈/Skeleton 骨架屏.png,场景/反馈,Skeleton 骨架屏,反馈,state_asset,skeleton,Skeleton 骨架屏,All,HTML fragment,yes,yes,P1,assets/states/skeleton.html,转为状态资产，定义出现条件和替换位置,listed_from_zip,2000,2266,RGBA
M023,场景/反馈/Spin 加载中.png,场景/反馈,Spin 加载中,反馈,state_asset,spin,Spin 加载中,All,HTML fragment,yes,yes,P1,assets/states/spin.html,转为状态资产，定义出现条件和替换位置,listed_from_zip,2000,9968,RGBA
M024,场景/反馈/功能类对话框 Modal.png,场景/反馈,功能类对话框 Modal,反馈,overlay_asset,functional-modal,功能类对话框 Modal,Overlay | FullPage,HTML fragment,yes,yes,P0,assets/overlays/functional-modal.html,转为覆盖层资产，必须定义挂载位置和触发条件,listed_from_zip,2000,6444,RGBA
M025,场景/反馈/抽屉 Drawer.png,场景/反馈,抽屉 Drawer,反馈,overlay_asset,drawer,抽屉 Drawer,Overlay | FullPage,HTML fragment,yes,yes,P0,assets/overlays/drawer.html,转为覆盖层资产，必须定义挂载位置和触发条件,listed_from_zip,2000,6220,RGBA
M026,场景/反馈/确认类对话框 Modal.png,场景/反馈,确认类对话框 Modal,反馈,overlay_asset,confirm-modal,确认类对话框 Modal,Overlay | FullPage,HTML fragment,yes,yes,P0,assets/overlays/confirm-modal.html,转为覆盖层资产，必须定义挂载位置和触发条件,listed_from_zip,2000,3768,RGBA
M027,场景/反馈/结果 Result.png,场景/反馈,结果 Result,反馈,state_asset,result,结果 Result,All,HTML fragment,yes,yes,P1,assets/states/result.html,转为状态资产，定义出现条件和替换位置,listed_from_zip,2413,10102,RGBA
M028,场景/反馈/通知提醒框 Notification.png,场景/反馈,通知提醒框 Notification,反馈,feedback_rule_asset,notification,通知提醒框 Notification,All,HTML fragment + rule,yes,yes,P1,assets/states/notification.html,转为局部/全局反馈资产,listed_from_zip,2000,3190,RGBA
M029,场景/场景/上传下载.png,场景/场景,上传下载,复杂场景,business_module,upload-download,上传下载,TablePage | DetailPage | FormPage | SettingsPage,HTML fragment + rule,yes,yes,P0,assets/modules/upload-download.html,转为复杂业务模块或配置模块，必须有输入输出和边界条件,listed_from_zip,3000,11662,RGBA
M030,场景/场景/上传文件.png,场景/场景,上传文件,复杂场景,business_module,upload-file,上传文件,TablePage | DetailPage | FormPage | SettingsPage,HTML fragment + rule,yes,yes,P0,assets/modules/upload-file.html,转为复杂业务模块或配置模块，必须有输入输出和边界条件,listed_from_zip,2700,6214,RGBA
M031,场景/场景/全屏.png,场景/场景,全屏,复杂场景,business_module,fullscreen,全屏,TablePage | DetailPage | FormPage | SettingsPage,HTML fragment + rule,yes,yes,P1,assets/modules/fullscreen.html,转为复杂业务模块或配置模块，必须有输入输出和边界条件,listed_from_zip,2225,9510,RGBA
M032,场景/场景/公式编辑器/1、功能区域.png,场景/场景/公式编辑器,1、功能区域,复杂场景/公式编辑器,business_module,formula-editor-function-area,1、功能区域,TablePage | DetailPage | FormPage | SettingsPage,HTML fragment + rule,yes,yes,P1,assets/modules/formula-editor-function-area.html,转为复杂业务模块或配置模块，必须有输入输出和边界条件,listed_from_zip,3968,17561,RGBA
M033,场景/场景/公式编辑器/2、公式编辑区域+说明引导.png,场景/场景/公式编辑器,2、公式编辑区域+说明引导,复杂场景/公式编辑器,business_module,formula-editor-editing-guide,2、公式编辑区域+说明引导,TablePage | DetailPage | FormPage | SettingsPage,HTML fragment + rule,yes,yes,P0,assets/modules/formula-editor-editing-guide.html,转为复杂业务模块或配置模块，必须有输入输出和边界条件,listed_from_zip,3968,7243,RGBA
M034,场景/场景/公式编辑器/3、智能小助手+模板.png,场景/场景/公式编辑器,3、智能小助手+模板,复杂场景/公式编辑器,business_module,formula-editor-assistant-template,3、智能小助手+模板,TablePage | DetailPage | FormPage | SettingsPage,HTML fragment + rule,yes,yes,P1,assets/modules/formula-editor-assistant-template.html,转为复杂业务模块或配置模块，必须有输入输出和边界条件,listed_from_zip,3968,7259,RGBA
M035,场景/场景/公式编辑器/公式编辑器设计模式.png,场景/场景/公式编辑器,公式编辑器设计模式,复杂场景/公式编辑器,business_module,formula-editor-pattern,公式编辑器设计模式,TablePage | DetailPage | FormPage | SettingsPage,HTML fragment + rule,yes,yes,P0,assets/modules/formula-editor-pattern.html,转为复杂业务模块或配置模块，必须有输入输出和边界条件,listed_from_zip,3968,5870,RGBA
M036,场景/场景/图片裁剪.png,场景/场景,图片裁剪,复杂场景,business_module,image-crop,图片裁剪,TablePage | DetailPage | FormPage | SettingsPage,HTML fragment + rule,yes,yes,P1,assets/modules/image-crop.html,转为复杂业务模块或配置模块，必须有输入输出和边界条件,listed_from_zip,4414,6926,RGBA
M037,场景/场景/审批流与审批模式 (1).png,场景/场景,审批流与审批模式 (1),复杂场景,business_module,approval-flow-mode-alt,审批流与审批模式 (1),TablePage | DetailPage | FormPage | SettingsPage,HTML fragment + rule,yes,yes,P0,assets/modules/approval-flow-mode-alt.html,转为复杂业务模块或配置模块，必须有输入输出和边界条件,listed_from_zip,2000,5582,RGBA
M038,场景/场景/审批流与审批模式.png,场景/场景,审批流与审批模式,复杂场景,business_module,approval-flow-mode,审批流与审批模式,TablePage | DetailPage | FormPage | SettingsPage,HTML fragment + rule,yes,yes,P0,assets/modules/approval-flow-mode.html,转为复杂业务模块或配置模块，必须有输入输出和边界条件,listed_from_zip,2000,5582,RGBA
M039,场景/场景/异步处理.png,场景/场景,异步处理,复杂场景,business_module,async-processing,异步处理,TablePage | DetailPage | FormPage | SettingsPage,HTML fragment + rule,yes,yes,P0,assets/modules/async-processing.html,转为复杂业务模块或配置模块，必须有输入输出和边界条件,listed_from_zip,2200,9774,RGBA
M040,场景/场景/拖拽排序.png,场景/场景,拖拽排序,复杂场景,business_module,drag-sort,拖拽排序,TablePage | DetailPage | FormPage | SettingsPage,HTML fragment + rule,yes,yes,P1,assets/modules/drag-sort.html,转为复杂业务模块或配置模块，必须有输入输出和边界条件,listed_from_zip,3231,6403,RGBA
M041,场景/场景/筛选项配置.png,场景/场景,筛选项配置,复杂场景,business_module,filter-config,筛选项配置,TablePage | DetailPage | FormPage | SettingsPage,HTML fragment + rule,yes,yes,P0,assets/modules/filter-config.html,转为复杂业务模块或配置模块，必须有输入输出和边界条件,listed_from_zip,2400,7008,RGBA
M042,场景/场景/表头设置.png,场景/场景,表头设置,复杂场景,business_module,table-header-settings,表头设置,TablePage | DetailPage | FormPage | SettingsPage,HTML fragment + rule,yes,yes,P0,assets/modules/table-header-settings.html,转为复杂业务模块或配置模块，必须有输入输出和边界条件,listed_from_zip,2400,11492,RGBA
M043,场景/审批流.png,场景,审批流,复杂场景,business_module,approval-flow,审批流,TablePage | DetailPage | FormPage | SettingsPage,HTML fragment + rule,yes,yes,P0,assets/modules/approval-flow.html,转为复杂业务模块或配置模块，必须有输入输出和边界条件,listed_from_zip,3000,8373,RGBA
