material_id,source_path,material_category,material_name,asset_layer,step4_status,step4_region_assets,next_handling
M001,场景/典型页面 2/提单/分步表单.png,典型页面,分步表单,page_recipe,used_in_step4_region_assets,region.form-section.multi-section;region.step-indicator.basic,后续装配时可读取对应 HTML 片段
M002,场景/典型页面 2/提单/基础表单-上下布局.png,典型页面,基础表单-上下布局,page_recipe,used_in_step4_region_assets,region.form-section.basic;region.form-section.multi-section;region.form-footer-actions.sticky,后续装配时可读取对应 HTML 片段
M003,场景/典型页面 2/提单/基础表单-左右表单.png,典型页面,基础表单-左右表单,page_recipe,used_in_step4_region_assets,region.form-section.basic;region.form-section.multi-section;region.form-footer-actions.sticky,后续装配时可读取对应 HTML 片段
M004,场景/典型页面 2/表格页/卡片表格.png,典型页面,卡片表格,page_recipe,used_in_step4_region_assets,region.card-grid.basic,后续装配时可读取对应 HTML 片段
M005,场景/典型页面 2/表格页/可编辑表格页.png,典型页面,可编辑表格页,page_recipe,handled_in_step3_or_reference_only,,页面配方已处理；区域资产已部分引用
M006,场景/典型页面 2/表格页/基础表格.png,典型页面,基础表格,page_recipe,used_in_step4_region_assets,region.page-header.basic;region.page-header.with-actions;region.filter-bar.basic;region.filter-bar.advanced-expand;region.filter-bar.compact-inline;region.table-toolbar.basic;region.table-toolbar.with-column-settings;region.data-table.basic;region.data-table.with-selection-summary;region.pagination.basic,后续装配时可读取对应 HTML 片段
M007,场景/典型页面 2/表格页/多栏表格.png,典型页面,多栏表格,page_recipe,handled_in_step3_or_reference_only,,页面配方已处理；区域资产已部分引用
M008,场景/典型页面 2/表格页/报表.png,典型页面,报表,page_recipe,used_in_step4_region_assets,region.metric-grid.basic;region.dashboard-grid.basic;region.report-summary-bar.basic,后续装配时可读取对应 HTML 片段
M009,场景/典型页面 2/表格页/汇总信息.png,典型页面,汇总信息,page_recipe,used_in_step4_region_assets,region.metric-grid.basic;region.report-summary-bar.basic,后续装配时可读取对应 HTML 片段
M010,场景/典型页面 2/表格页/父子.png,典型页面,父子,page_recipe,used_in_step4_region_assets,region.split-layout.master-detail,后续装配时可读取对应 HTML 片段
M011,场景/典型页面 2/详情/编辑页.png,典型页面,编辑页,page_recipe,used_in_step4_region_assets,region.page-header.with-back;region.form-section.multi-section,后续装配时可读取对应 HTML 片段
M012,场景/典型页面 2/详情/详情页-上下布局.png,典型页面,详情页-上下布局,page_recipe,used_in_step4_region_assets,region.page-header.basic;region.page-header.with-back;region.detail-summary.basic;region.detail-info-section.basic,后续装配时可读取对应 HTML 片段
M013,场景/典型页面 2/详情/详情页-基础样式-左右布局.png,典型页面,详情页-基础样式-左右布局,page_recipe,used_in_step4_region_assets,region.detail-summary.basic;region.detail-info-section.basic;region.detail-side-layout.basic;region.split-layout.master-detail,后续装配时可读取对应 HTML 片段
M014,场景/典型页面 2/详情/详情页-表格样式-左右布局.png,典型页面,详情页-表格样式-左右布局,page_recipe,used_in_step4_region_assets,region.detail-summary.basic;region.detail-side-layout.basic;region.split-layout.master-detail,后续装配时可读取对应 HTML 片段
M015,场景/典型页面 2/配置页面/设置页 (1).png,典型页面,设置页 (1),page_recipe,used_in_step4_region_assets,region.page-header.basic;region.settings-layout.anchor;region.setting-section.basic;region.anchor.basic,后续装配时可读取对应 HTML 片段
M016,场景/典型页面 2/首页/业务首页.png,典型页面,业务首页,page_recipe,used_in_step4_region_assets,region.page-header.basic;region.metric-grid.basic;region.dashboard-grid.basic,后续装配时可读取对应 HTML 片段
M017,场景/典型页面 2/首页/首页.png,典型页面,首页,page_recipe,used_in_step4_region_assets,region.metric-grid.basic;region.dashboard-grid.basic,后续装配时可读取对应 HTML 片段
M018,场景/反馈/Alert 警告提示.png,反馈,Alert 警告提示,feedback_rule_asset,not_converted_in_step4,,第6步转状态/反馈/覆盖层资产
M019,场景/反馈/Message 全局提示.png,反馈,Message 全局提示,feedback_rule_asset,not_converted_in_step4,,第6步转状态/反馈/覆盖层资产
M020,场景/反馈/Popconfirm 气泡确认框.png,反馈,Popconfirm 气泡确认框,overlay_asset,not_converted_in_step4,,第6步转状态/反馈/覆盖层资产
M021,场景/反馈/Progress 进度条.png,反馈,Progress 进度条,state_asset,not_converted_in_step4,,第6步转状态/反馈/覆盖层资产
M022,场景/反馈/Skeleton 骨架屏.png,反馈,Skeleton 骨架屏,state_asset,not_converted_in_step4,,第6步转状态/反馈/覆盖层资产
M023,场景/反馈/Spin 加载中.png,反馈,Spin 加载中,state_asset,not_converted_in_step4,,第6步转状态/反馈/覆盖层资产
M024,场景/反馈/功能类对话框 Modal.png,反馈,功能类对话框 Modal,overlay_asset,not_converted_in_step4,,第6步转状态/反馈/覆盖层资产
M025,场景/反馈/抽屉 Drawer.png,反馈,抽屉 Drawer,overlay_asset,not_converted_in_step4,,第6步转状态/反馈/覆盖层资产
M026,场景/反馈/确认类对话框 Modal.png,反馈,确认类对话框 Modal,overlay_asset,not_converted_in_step4,,第6步转状态/反馈/覆盖层资产
M027,场景/反馈/结果 Result.png,反馈,结果 Result,state_asset,used_in_step4_region_assets,region.result.success;region.result.exception,后续装配时可读取对应 HTML 片段
M028,场景/反馈/通知提醒框 Notification.png,反馈,通知提醒框 Notification,feedback_rule_asset,not_converted_in_step4,,第6步转状态/反馈/覆盖层资产
M029,场景/场景/上传下载.png,复杂场景,上传下载,business_module,not_converted_in_step4,,第5步转模块资产
M030,场景/场景/上传文件.png,复杂场景,上传文件,business_module,not_converted_in_step4,,第5步转模块资产
M031,场景/场景/全屏.png,复杂场景,全屏,business_module,not_converted_in_step4,,第5步转模块资产
M032,场景/场景/公式编辑器/1、功能区域.png,复杂场景/公式编辑器,1、功能区域,business_module,not_converted_in_step4,,第5步转模块资产
M033,场景/场景/公式编辑器/2、公式编辑区域+说明引导.png,复杂场景/公式编辑器,2、公式编辑区域+说明引导,business_module,not_converted_in_step4,,第5步转模块资产
M034,场景/场景/公式编辑器/3、智能小助手+模板.png,复杂场景/公式编辑器,3、智能小助手+模板,business_module,not_converted_in_step4,,第5步转模块资产
M035,场景/场景/公式编辑器/公式编辑器设计模式.png,复杂场景/公式编辑器,公式编辑器设计模式,business_module,not_converted_in_step4,,第5步转模块资产
M036,场景/场景/图片裁剪.png,复杂场景,图片裁剪,business_module,not_converted_in_step4,,第5步转模块资产
M037,场景/场景/审批流与审批模式 (1).png,复杂场景,审批流与审批模式 (1),business_module,not_converted_in_step4,,第5步转模块资产
M038,场景/场景/审批流与审批模式.png,复杂场景,审批流与审批模式,business_module,not_converted_in_step4,,第5步转模块资产
M039,场景/场景/异步处理.png,复杂场景,异步处理,business_module,not_converted_in_step4,,第5步转模块资产
M040,场景/场景/拖拽排序.png,复杂场景,拖拽排序,business_module,not_converted_in_step4,,第5步转模块资产
M041,场景/场景/筛选项配置.png,复杂场景,筛选项配置,business_module,used_in_step4_region_assets,region.filter-bar.basic;region.filter-bar.advanced-expand,后续装配时可读取对应 HTML 片段
M042,场景/场景/表头设置.png,复杂场景,表头设置,business_module,used_in_step4_region_assets,region.table-toolbar.with-column-settings,后续装配时可读取对应 HTML 片段
M043,场景/审批流.png,复杂场景,审批流,business_module,not_converted_in_step4,,第5步转模块资产
M044,场景/导航/web端-多页签.png,导航,web端-多页签,shell_navigation_rule,not_converted_in_step4,,后续壳子/导航规则处理
M045,场景/导航/下拉菜单 Dropdown.png,导航,下拉菜单 Dropdown,navigation_region,not_converted_in_step4,,后续步骤确认
M046,场景/导航/侧边导航.png,导航,侧边导航,shell_navigation_rule,not_converted_in_step4,,后续壳子/导航规则处理
M047,场景/导航/分页 Pagination.png,导航,分页 Pagination,navigation_region,used_in_step4_region_assets,region.pagination.basic,后续装配时可读取对应 HTML 片段
M048,场景/导航/标签页 Tabs.png,导航,标签页 Tabs,navigation_region,used_in_step4_region_assets,region.tabs.basic,后续装配时可读取对应 HTML 片段
M049,场景/导航/步骤条 Steps.png,导航,步骤条 Steps,navigation_region,used_in_step4_region_assets,region.step-indicator.basic,后续装配时可读取对应 HTML 片段
M050,场景/导航/胶囊选项卡 CapsuleTabs .png,导航,胶囊选项卡 CapsuleTabs ,navigation_region,used_in_step4_region_assets,region.tabs.basic,后续装配时可读取对应 HTML 片段
M051,场景/导航/返回按钮 ReturnButton .png,导航,返回按钮 ReturnButton ,navigation_region,used_in_step4_region_assets,region.page-header.with-back,后续装配时可读取对应 HTML 片段
M052,场景/导航/锚点 Anchor.png,导航,锚点 Anchor,navigation_region,used_in_step4_region_assets,region.detail-side-layout.basic;region.settings-layout.anchor;region.anchor.basic,后续装配时可读取对应 HTML 片段
M053,场景/导航/顶部导航 AppNav.png,导航,顶部导航 AppNav,shell_navigation_rule,not_converted_in_step4,,后续壳子/导航规则处理
M054,场景/按钮规则/Body 内容区按钮位置.png,按钮规则,Body 内容区按钮位置,component_combo_rule,used_in_step4_region_assets,region.page-header.with-actions;region.setting-section.basic,后续装配时可读取对应 HTML 片段
M055,场景/按钮规则/Button 按钮.png,按钮规则,Button 按钮,interaction_rule,not_converted_in_step4,,第6或第7步转组件组合/规则/HTML
M056,场景/按钮规则/Footer 页面底部区按钮位置.png,按钮规则,Footer 页面底部区按钮位置,component_combo_rule,used_in_step4_region_assets,region.form-footer-actions.sticky,后续装配时可读取对应 HTML 片段
M057,场景/按钮规则/Header页面头部区域按钮位置.png,按钮规则,Header页面头部区域按钮位置,component_combo_rule,used_in_step4_region_assets,region.page-header.basic;region.page-header.with-actions;region.page-header.with-back,后续装配时可读取对应 HTML 片段
M058,场景/按钮规则/Toolbar 操作工具区按钮位置.png,按钮规则,Toolbar 操作工具区按钮位置,component_combo_rule,used_in_step4_region_assets,region.filter-bar.basic;region.filter-bar.advanced-expand;region.filter-bar.compact-inline;region.table-toolbar.basic;region.table-toolbar.with-column-settings;region.data-table.with-selection-summary,后续装配时可读取对应 HTML 片段
M059,场景/按钮规则/勾选和开关按钮的使用规则.png,按钮规则,勾选和开关按钮的使用规则,interaction_rule,not_converted_in_step4,,第6或第7步转组件组合/规则/HTML
M060,场景/按钮规则/按钮使用原则.png,按钮规则,按钮使用原则,interaction_rule,used_in_step4_region_assets,region.page-header.with-actions;region.table-toolbar.basic;region.form-footer-actions.sticky;region.setting-section.basic,后续装配时可读取对应 HTML 片段
M061,场景/按钮规则/禁用态探索.png,按钮规则,禁用态探索,interaction_rule,not_converted_in_step4,,第6或第7步转组件组合/规则/HTML
M062,场景/按钮规则/禁用按钮使用规则.png,按钮规则,禁用按钮使用规则,interaction_rule,not_converted_in_step4,,第6或第7步转组件组合/规则/HTML
M063,场景/按钮规则/链接按钮使用规则.png,按钮规则,链接按钮使用规则,interaction_rule,used_in_step4_region_assets,region.table-toolbar.basic,后续装配时可读取对应 HTML 片段
M064,场景/数据 录入/Input 输入框.png,数据录入,Input 输入框,component_combo,used_in_step4_region_assets,region.filter-bar.basic;region.filter-bar.advanced-expand;region.filter-bar.compact-inline;region.form-section.basic,后续装配时可读取对应 HTML 片段
M065,场景/数据 录入/InputNumber 数字输入框.png,数据录入,InputNumber 数字输入框,component_combo,not_converted_in_step4,,第6或第7步转组件组合/规则/HTML
M066,场景/数据 录入/Radio 单选框.png,数据录入,Radio 单选框,component_combo,not_converted_in_step4,,第6或第7步转组件组合/规则/HTML
M067,场景/数据 录入/Select 选择器.png,数据录入,Select 选择器,component_combo,used_in_step4_region_assets,region.filter-bar.basic;region.filter-bar.advanced-expand;region.filter-bar.compact-inline;region.form-section.basic,后续装配时可读取对应 HTML 片段
M068,场景/数据 录入/Sidebar Contents 分栏目录.png,数据录入,Sidebar Contents 分栏目录,component_combo,used_in_step4_region_assets,region.settings-layout.anchor;region.anchor.basic,后续装配时可读取对应 HTML 片段
M069,场景/数据 录入/上传 Upload.png,数据录入,上传 Upload,component_combo,not_converted_in_step4,,第6或第7步转组件组合/规则/HTML
M070,场景/数据 录入/多选 Checkbox (1).png,数据录入,多选 Checkbox (1),component_combo,not_converted_in_step4,,第6或第7步转组件组合/规则/HTML
M071,场景/数据 录入/开关 Switch.png,数据录入,开关 Switch,component_combo,used_in_step4_region_assets,region.setting-section.basic,后续装配时可读取对应 HTML 片段
M072,场景/数据 录入/日期时间选择器 DatePicker.png,数据录入,日期时间选择器 DatePicker,component_combo,used_in_step4_region_assets,region.filter-bar.basic;region.filter-bar.advanced-expand,后续装配时可读取对应 HTML 片段
M073,场景/数据 录入/日期时间选择器 TimePicker.png,数据录入,日期时间选择器 TimePicker,component_combo,not_converted_in_step4,,第6或第7步转组件组合/规则/HTML
M074,场景/数据 录入/树选择 TreeSelect.png,数据录入,树选择 TreeSelect,component_combo,used_in_step4_region_assets,region.filter-bar.advanced-expand,后续装配时可读取对应 HTML 片段
M075,场景/数据 录入/级联选择 Cascader (1).png,数据录入,级联选择 Cascader (1),component_combo,used_in_step4_region_assets,region.filter-bar.advanced-expand,后续装配时可读取对应 HTML 片段
M076,场景/数据 录入/表单 Form.png,数据录入,表单 Form,form_region,used_in_step4_region_assets,region.form-section.basic;region.form-section.multi-section,后续装配时可读取对应 HTML 片段
M077,场景/数据展示/Badge 徽标.png,数据展示,Badge 徽标,display_component_combo,not_converted_in_step4,,第6或第7步转组件组合/规则/HTML
M078,场景/数据展示/Empty 空状态.png,数据展示,Empty 空状态,state_asset,not_converted_in_step4,,第6步转状态/反馈/覆盖层资产
M079,场景/数据展示/FilePreview 文件预览.png,数据展示,FilePreview 文件预览,display_module,not_converted_in_step4,,第5步转模块资产
M080,场景/数据展示/Image 图片.png,数据展示,Image 图片,display_component_combo,used_in_step4_region_assets,region.card-grid.basic,后续装配时可读取对应 HTML 片段
M081,场景/数据展示/Segmented 分段控制器.png,数据展示,Segmented 分段控制器,display_component_combo,used_in_step4_region_assets,region.tabs.basic,后续装配时可读取对应 HTML 片段
M082,场景/数据展示/Tag 标签.png,数据展示,Tag 标签,display_component_combo,used_in_step4_region_assets,region.card-grid.basic,后续装配时可读取对应 HTML 片段
M083,场景/数据展示/Tour 漫游式引导.png,数据展示,Tour 漫游式引导,display_component_combo,not_converted_in_step4,,第6或第7步转组件组合/规则/HTML
M084,场景/数据展示/Tree 树形控件.png,数据展示,Tree 树形控件,display_module,used_in_step4_region_assets,region.split-layout.master-detail,后续装配时可读取对应 HTML 片段
M085,场景/数据展示/折叠面板 Collapse.png,数据展示,折叠面板 Collapse,display_module,not_converted_in_step4,,第5步转模块资产
M086,场景/数据展示/描述列表 Descriptions.png,数据展示,描述列表 Descriptions,display_module,used_in_step4_region_assets,region.detail-summary.basic;region.detail-info-section.basic;region.detail-side-layout.basic,后续装配时可读取对应 HTML 片段
M087,场景/数据展示/文字提示 Tooltip.png,数据展示,文字提示 Tooltip,display_component_combo,not_converted_in_step4,,第6或第7步转组件组合/规则/HTML
M088,场景/数据展示/气泡卡片  Popover.png,数据展示,气泡卡片  Popover,display_component_combo,not_converted_in_step4,,第6或第7步转组件组合/规则/HTML
M089,场景/数据展示/表格 Table.png,数据展示,表格 Table,display_module,used_in_step4_region_assets,region.table-toolbar.with-column-settings;region.data-table.basic;region.data-table.with-selection-summary,后续装配时可读取对应 HTML 片段
M090,场景/数据展示/表格-表头筛选.png,数据展示,表格-表头筛选,display_module,used_in_step4_region_assets,region.table-toolbar.with-column-settings;region.data-table.basic;region.data-table.with-selection-summary,后续装配时可读取对应 HTML 片段
M091,场景/数据展示/走马灯 Carousel.png,数据展示,走马灯 Carousel,display_component_combo,used_in_step4_region_assets,region.card-grid.basic,后续装配时可读取对应 HTML 片段
