asset_id,asset_name,asset_type,target_page_types,keywords,conditions,forbidden_when,variant,html_path,slots,priority,validation,source_material_ids
module-approval-flow-basic,审批流程模块,business_module,DetailPage|ApprovalPage|CreatePage,"审批,审批流,流程,流转,节点,处理人",需求包含审批流/流程节点/审批详情,普通列表页无流程语义时禁用,basic,assets/modules/approval-flow/basic.html,APPROVAL_STEP_SLOT,100,必须包含节点状态、处理人、时间或待处理说明,M037|M038|M043
module-approval-flow-mode-selector,审批模式选择模块,business_module,SettingsPage|ApprovalPage|CreatePage,"审批模式,逐级审批,指定审批人,条件分支",需求要求配置审批模式或流程规则,只展示审批结果时禁用,mode-selector,assets/modules/approval-flow/mode-selector.html,APPROVAL_MODE_SLOT,96,至少提供 2 种模式且标明适用场景,M037|M038
module-upload-file-basic,上传文件模块,business_module,CreatePage|EditPage|DetailPage,"上传,附件,文件上传,拖拽上传",需要提交附件或维护文件,仅下载结果时禁用,basic,assets/modules/upload-file/basic.html,UPLOAD_SLOT|FILE_LIST_SLOT,98,必须包含上传入口和文件列表,M030|M069
module-upload-download-basic,上传下载模块,business_module,TablePage|CreatePage|SettingsPage,"上传下载,导入,导出,模板,批量导入",需要模板下载、批量导入、结果下载闭环,单纯附件上传时优先 upload-file,basic,assets/modules/upload-download/basic.html,DOWNLOAD_SLOT|UPLOAD_SLOT|RESULT_SLOT,98,必须包含下载模板、上传、结果反馈,M029
module-async-processing-status-panel,异步处理进度模块,business_module,TablePage|DetailPage|Modal|Drawer,"异步,处理中,进度,任务,导入结果",任务不会即时完成，需要显示处理进度,同步提交立即完成时禁用,status-panel,assets/modules/async-processing/status-panel.html,STATUS_SLOT|LOG_SLOT,98,必须包含状态、进度、日志或结果入口,M039|M021
module-drag-sort-list,拖拽排序模块,business_module,SettingsPage|Modal|Drawer,"拖拽,排序,字段排序,节点排序",需要调整字段/节点/展示项顺序,只有只读列表时禁用,list,assets/modules/drag-sort/list.html,SORT_ITEM_SLOT,92,必须包含拖拽柄、排序项和保存操作,M040
module-filter-config-panel,筛选项配置模块,business_module,SettingsPage|Drawer|Modal,"筛选项配置,高级筛选,默认筛选,字段配置",需要配置筛选项显示、顺序或默认值,简单查询表单不需要配置时禁用,panel,assets/modules/filter-config/panel.html,FILTER_CONFIG_SLOT,96,必须包含字段选择、显示状态和保存操作,M041
module-table-header-settings-panel,表头设置模块,business_module,TablePage|Drawer|Modal,"表头设置,列设置,显示列,固定列,列排序",用户需要配置表格列显示/固定/排序,非表格页禁用,panel,assets/modules/table-header-settings/panel.html,COLUMN_SETTING_SLOT,98,必须包含显示列、固定列或列排序,M042|M090
module-formula-editor-basic,公式编辑器基础模块,business_module,SettingsPage|CreatePage|EditPage,"公式,公式编辑器,函数,表达式,字段映射",需要配置计算规则或表达式,普通输入框可满足时禁用,basic,assets/modules/formula-editor/basic.html,FORMULA_SOURCE_SLOT|FORMULA_EDIT_SLOT|FORMULA_GUIDE_SLOT,100,必须包含函数/字段区、编辑区和说明引导,M032|M033|M035
module-formula-editor-with-assistant,智能公式助手模块,business_module,SettingsPage|CreatePage|EditPage,"智能助手,公式模板,模板推荐,自然语言公式",公式编辑复杂且需要模板/助手辅助,简单公式编辑时可选不用,with-assistant,assets/modules/formula-editor/with-assistant.html,ASSISTANT_SLOT|TEMPLATE_SLOT,88,必须作为公式编辑器的辅助模块，不单独成页,M034|M035
module-image-crop-panel,图片裁剪模块,business_module,Modal|Drawer|CreatePage|EditPage,"图片裁剪,头像,图片处理,裁切",需要上传后裁剪图片,普通图片预览禁用,panel,assets/modules/image-crop/panel.html,CROP_CANVAS_SLOT|PREVIEW_SLOT,86,必须包含裁剪画布、预览和确认操作,M036
module-fullscreen-entry,全屏工作区模块,business_module,TablePage|SettingsPage|ReportPage,"全屏,沉浸,大屏,全屏编辑",需要沉浸处理复杂配置或报表,普通详情查看不应默认全屏,entry,assets/modules/fullscreen/entry.html,FULLSCREEN_CONTENT_SLOT,82,必须包含退出全屏操作,M031
module-file-preview-basic,文件预览模块,display_module,DetailPage|Drawer|Modal,"文件预览,预览,附件,PDF,图片,Excel",需要在页面内查看文件内容,只下载文件时禁用,basic,assets/modules/file-preview/basic.html,FILE_LIST_SLOT|PREVIEW_SLOT,86,必须包含文件列表和预览区域,M079
module-tree-basic,树形结构模块,display_module,SettingsPage|TablePage|Drawer,"树,树形控件,组织树,目录树",层级对象选择或展示,平铺列表足够时禁用,basic,assets/modules/tree/basic.html,TREE_NODE_SLOT,84,必须体现层级和当前选中项,M084|M074
module-collapse-basic,折叠面板模块,display_module,DetailPage|SettingsPage|CreatePage,"折叠面板,收起,展开,分组信息",信息分组较多，需要降低首屏压力,少量信息不使用折叠,basic,assets/modules/collapse/basic.html,COLLAPSE_ITEM_SLOT,82,必须包含展开态和收起态,M085
module-descriptions-basic,描述列表模块,display_module,DetailPage|Drawer,"描述列表,详情字段,只读信息,基础信息",只读详情字段成组展示,可编辑字段使用表单区域,basic,assets/modules/descriptions/basic.html,DESCRIPTION_FIELD_SLOT,94,必须使用标签和值成对展示,M086
module-table-header-filter-dropdown,表头筛选模块,display_module,TablePage,"表头筛选,列筛选,表格筛选",表格列需要局部筛选,全局筛选足够时禁用,dropdown,assets/modules/table-header-filter/dropdown.html,FILTER_OPTION_SLOT,88,必须包含筛选项和确认/清空操作,M090
module-related-table-basic,关联表模块,business_module,DetailPage|ApprovalPage,"关联表,关联数据,关联单据,明细表",详情页需要展示关联对象或明细,主列表页不作为主表格使用,basic,assets/modules/related-table/basic.html,RELATED_ROW_SLOT,90,必须放在详情主体或详情抽屉内,M012|M015|M089
module-operation-log-basic,操作记录模块,business_module,DetailPage|ApprovalPage|Drawer,"操作记录,流转记录,日志,历史记录",需要追踪谁在什么时间做了什么,无历史语义时禁用,basic,assets/modules/operation-log/basic.html,LOG_ITEM_SLOT,86,必须包含时间、操作者、动作,M015|M043
